Date,PRECTOTCORR,WS2M,T2M_RANGE,T2M_MAX,T2M_MIN,PS,ALLSKY_SFC_SW_DWN,RH2M,T2MDEW,RainStatus
1/1/1986,6.75,2.68,8,31.57,23.57,100.92,16.75,69.53,20.1,1
1/2/1986,0,2.69,13.66,33.29,19.63,101.03,22.15,57.22,16.46,0
1/3/1986,0,2.43,14.05,34.47,20.42,101.03,21.55,56.2,16.9,0
1/4/1986,0.01,3.58,13.13,34.36,21.23,100.96,21.32,52.45,16.07,1
1/5/1986,0,4,11.73,31.69,19.96,101.01,21.5,48.57,13.01,0
1/6/1986,0,3.75,13.59,32.58,18.99,101.1,21.58,47.8,12.69,0
1/7/1986,0,3.41,9.86,29.15,19.29,101.19,21.02,51.89,13.01,0
1/8/1986,0,2.97,14.85,32.36,17.51,101.16,20.43,51.82,13.21,0
1/9/1986,0,3.45,15.24,33.8,18.56,101.26,21.62,49.39,13.86,0
1/10/1986,0,3.38,14.11,33.42,19.31,101.2,20.28,47.43,13.04,0
1/11/1986,0,2.39,12.36,30.52,18.16,101.15,21.62,49.27,12.28,0
1/12/1986,0,2.71,15.64,34.5,18.86,101.08,22.73,45.91,12.12,0
1/13/1986,0,2.58,15.86,35.05,19.19,101.11,21.63,46.98,13.44,0
1/14/1986,0,1.58,10.1,31.81,21.71,101.06,16.77,48.27,14.39,0
1/15/1986,0,1.24,13.36,34.88,21.52,100.98,20.74,47.53,15.69,0
1/16/1986,0,0.65,11.22,34.49,23.27,100.95,22.72,52.88,17.83,0
1/17/1986,0,1.09,10.88,35.06,24.18,100.9,18.57,56.07,18.95,0
1/18/1986,0,1.34,12.35,36.54,24.19,100.88,17,56.26,19.47,0
1/19/1986,0,1.61,11.16,35.76,24.6,100.93,19.69,54.14,18.89,0
1/20/1986,0,2.03,12.82,36.57,23.75,100.99,17.58,51.5,17.08,0
1/21/1986,0,1.68,12.63,36.04,23.41,100.98,18.57,45.37,14.82,0
1/22/1986,0,1.21,7.79,30.82,23.03,101.03,22.51,49.37,14.65,0
1/23/1986,0,1.86,15.38,36.1,20.72,101.03,22.58,42.75,13.29,0
1/24/1986,0,1.47,12.82,35.11,22.29,101.07,21.69,51.23,15.87,0
1/25/1986,0,1.8,12.91,34.29,21.38,101.11,22.29,44.68,13.62,0
1/26/1986,0,3.19,14.48,35.51,21.03,101.13,23.15,40.53,12.32,0
1/27/1986,0,3.25,13.85,34.4,20.55,101.19,22.87,41.18,11.77,0
1/28/1986,0,2.42,15.42,34.11,18.69,101.19,22.3,40.39,10.36,0
1/29/1986,0,1.33,16.25,35.42,19.17,101.01,23.35,42.41,12.32,0
1/30/1986,0,1.62,15.73,36.57,20.84,100.85,22.95,50.15,16.09,0
1/31/1986,0,1.83,14.9,36.89,21.99,100.75,22.57,52.91,17.4,0
2/1/1986,0,1.89,13.11,36.45,23.34,100.82,22.28,55.4,18.51,0
2/2/1986,0,1.81,13.41,36.79,23.38,100.86,20.73,54.13,18.31,0
2/3/1986,0,2.05,12.89,37.21,24.32,100.85,21.24,55.29,19.36,0
2/4/1986,0,2.39,9.41,34.38,24.97,100.89,20.3,60.06,20.22,0
2/5/1986,0,2.08,11.65,36.27,24.62,100.98,21.7,55.76,19.32,0
2/6/1986,0,1.99,11.27,36.38,25.11,101,21.98,49.87,18.13,0
2/7/1986,0,2.24,14.14,37.69,23.55,101.05,21.86,46.56,16.55,0
2/8/1986,0,2.57,12.78,36.89,24.11,101.15,21.17,45.79,16.1,0
2/9/1986,0,2.33,13.68,36.76,23.08,101.27,24.02,44.95,14.79,0
2/10/1986,0,2.51,13.66,36.12,22.46,101.31,23.6,42.85,13.6,0
2/11/1986,0,2.08,13.63,35.69,22.06,101.14,24.45,41.82,13.24,0
